Do Not Go Gentle into that Good Night,"Cale, John",
Do Nothin' Till You Hear From Me,"Holiday, Billie",
Do Nothing,Specials,
"Do Right Woman, Do Right Man","Franklin, Aretha",
Do the Standing Still,Table,
Do the Strand,Roxy Music,
Do You Dream In Colour,"Nelson, Bill",
Do You Know The Way to San Jose,"Warwick, Dionne",
Do You Know What It Means to Miss New Orleans,"Armstrong, Louis",
Do You Realize??,Flaming Lips,
Do You Remember the First Time?,Pulp,
Do You Remember Walter?,Kinks,
Doctor Jazz,"Morton, Jelly Roll and the Red Hot Peppers",
Doctor Jekyll et Monsieur Hyde,"Gainsbourg, Serge",
Doctor Who,BBC Radiophonic Workshop,
"Doctor, Please",Blue Cheer,
Dodecahedron,"Houghton, Beth Jeans & the Hooves of Destiny",
Does This Bus Stop at 82nd Street?,"Springsteen, Bruce",
Dog and Butterfly,Heart,
Doledrum,La's,
Dolphins,"Buckley, Tim",
Domino,Cramps,
Done by the Forces of Nature,Jungle Brothers,
Don't Believe a Word,Thin Lizzy,
Don't Believe the Hype,Public Enemy,
Don't Come Around No More,"Petty, Tom & the Heartbreakers",
Don't Dence Me In,"Byrne, David",
"Don't Dream It, Be It","Curry, Tim",
Don't Dream It's Over,Crowded House,
Don't Drop the Baby,Low,
Don't Eat Stuff Off the Sidewalk,Cramps,
Don't Explain,"Holiday, Billie",
Don't Fear the Reaper,Blue Oyster Cult,
Don't Get Weary Joe Frazier,I-Roy,
Don't Give Up,"Gabriel, Peter & Kate Bush",
Don't Go Home With Your Hard-On,"Cohen, Leonard",
Don't Go Near the Water,Beach Boys,
Don't Go to Strangers,"Jones, Etta",
Don't Leave Me This Way,Communards,
Don't Let Me Down,Beatles,
Don't Let Me Lose This Dream,"Franklin, Aretha",
Don't Let the Joneses Get You Down,Temptations,
Don't Let the Sun Catch You Crying,Gerry and the Pacemakers,
Don't Let the Sun Go Down on Your Grievances,"Johnston, Daniel",
Don't Make Fun of Daddy's Voice,Morrissey,
Don't Stand Between a Man and His Tools,Spooky Men's Chorale,
Don't Stop Till You Get Enough,"Jackson, Michael",
Don't Take My Shadow (Tom Moulton Remix),Kings Go Forth,
Don't Take Your Guns To Town,"Cash, Johnny",
Don't Touch the Bang Bang Fruit,Meteors,
Don't You Feel My Leg,"Muldaur, Maria",
Don't You Just Know It,"Smith, Huey ""Piano"" & the Clowns",
Don't You Want Me,Human League,
Don't You Worry 'Bout A Thing,"Wonder, Stevie",
Doors of Your Heart,Beat,
Doo-Wop (That Thing),"Hill, Lauryn",
Do-Re-Mi,"Guthrie, Woody",
Dos Gardenias,Buena Vista Social Club,
Dot Dash,Wire,
Double Chocolate Malted,"Richman, Jonathan & the Modern Lovers",
Double Crossing,"Mayall, John & the Bluesbreakers",
Double Dutch Bus,"Smith, Frankie",
Doublle Wide Blues,"Snider, Todd",
Dounia,Super Rail Band,
Down Down the Deep River,Okkervil River,
Down in a Hole,Alice in Chains,
Down in the Park,Tubeway Army,
Down in the Tube Station at Midnight,Jam,
Down in the Willow Garden,Everly Brothers,
Down to the River to Pray,"Krauss, Alison",
Downloading Porn With Davo,Moldy Peaches,
Downtown,"Clark, Petula",
Dr. Abernathy,Scritti Politti,
Dr. Baker,Beta Band,
Dr. Beat,Miami Sound Machine,
Dr. Love Power,"Peebles, Anne",
Dr. Ring-Ding,"Alphonso, Roland & the Soul Brothers",
Dracula's Wedding,OutKast,
Draft Morning,Byrds,
Dragonflies,Red House Painters,
Drake's Drum,"Stanford, Charles Villiers",
Dream A Little Dream of Me,Mamas and the Papas,
Dream Police,Cheap Trick,
Dreaming of the Queen,Pet Shop Boys,
Dreamtime,Cult,
Dress Sexy at My Funeral,Smog,
Drifter's Escape,"Dylan, Bob",
Drinkin' Wine Spo-Dee-O-Dee,"McGhee, Sticks",
Drinking Song (La Traviata),"Verdi, Giusseppe",
Drive By,Githead,
Drive My Car,Beatles,
Drivin' on 9,Breeders,
Driving Away From Home (Jim's Tune),It's Immaterial,
Drop It Like It's Hot,Snoop Dogg feat. Pharrell,
Drop the Bomb,Trouble Funk,
Dropout Boogie,Captain Beefheart,
Drum Town,Yes/No People,
Drunken Spree,"James, Skip",
Dry the Rain,Beta Band,
Dry Your Eyes,Streets,
Dubble (Organ Swell),Funki Porcini,
Duchess,Stranglers,
Duelling Banjos,"Weissberg, Eric & Steve Mandell",
Dumb All Over,"Zappa, Frank",
Dumb It Down,"Fiasco, Lupe",
Dumb Ways to Die,Tangerine Kitty,
"Dunwich Beach, Autumn, 1960","Eno, Brian",
Dyin' Crapshooter's Blues,"McTell, Blind Willie",
Dying on the Vine,"Cale, John",
E=MC2,Big Audio Dynamite,
E2-E4,"Gîttsching, Manuel",
Eagle,Abba,
Eardrum Buzz,Wire,
Early in the Mornin',"Lomax, Alan with 22, Little Red, Tangle Eye and Hard Hair",
Earth Angel,Penguins,
Earth Died Screaming,"Waits, Tom",
East,"Paul, Billy",
Eastbourne Ladies,"Coyne, Kevin",
"Easy Come, Easy Go","McLennan, Grant",
Eat For Two,10000 Maniacs,
Eat That Chicken,"Mingus, Charles",
Eat the Rich,Aerosmith,
Eating Salt is Easy,Gorky's Zygotic Mynci,
Eavesdropping,Grizzly Bear,
Eccentric Man,Groundhogs,
Echo Beach,Martha & the Muffins,
Eclipse Them All,Smoke Fairies,
Eddie & Sheena,Electric Chairs,
Eden,Talk Talk,
Edinburgh Man,Fall,
Edward Fox,Smack,
Effect and Cause,White Stripes,
Egg Cream,"Reed, Lou",
Eggs and Sausage,"Waits, Tom",
Egyptian Shumba,Tammys,
Egyptian Tomb,Mighty Baby,
Eight Miles High,Husker Du,
Eighth day.,"O'Connor, Hazel",
El Circulo M†gico,"Falla, Manuel de (pianist: Alicia de Larrocha)",
El Loco,Los de Abajo,
El President,Drugstore,
El Pueblo Unido Jam†s Ser† Vencido,Inti-Illimani,
El Salvador,"Peter, Paul and Mary",
El Salvador,Insane,
El Secreto de las Tortugas,"Nerea, Maldita",
El Taxista,Los Tigres Del Norte,
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,
Eleanor Rigby,Beatles,
Elected,Alice Cooper,
Election Day,Replacements,
Electioneering,Radiohead,
Electra,"Faithfull, Marianne",
Electric Eye,Judas Priest,
Electric Funeral,Black Sabbath,
Electronic Performers,Air,
Elektro Kardiogramm,Kraftwerk,
Elements,"Lehrer, Tom",
"Eli, the Barrow Boy",Decemberists,
Elizabeth My Dear,Stone Roses,
Elizabeth on the Bathroom Floor,Eels,
Eloise,Damned,
Embarrassment,Madness,
Embarrassment,Ex,
Embrace,Low,
Emily,"Newsom, Joanna",
Emily Kane,Art Brut,
Emma,Hot Chocolate,
Empire State of Mind,Jay-Z ft Alicia Keys,
Empty Bed Blues,"Smith, Bessy",
Empty Cans,Streets,
Encore,Digitalism,
Endless Art,A House,
Endorfin,"YÅcel, Taner",
England 2 Colombia 0,"MacColl, Kirsty",
Englishman on Holiday,Thunder,
Enivrez-Vous,Stereolab,
Enjoy the Silence,Susanna and the Magical Orchestra,
Enola Gay,Orchestral Manouevres in the Dark,
Enter Sandman,Metallica,
Erase/Rewind,Cardigans,
Erie Canal,"Springsteen, Bruce",
Escape,A Guy Called Gerald,
Escape,"Clail, Gary & On-U Sound System",
Escape is So Simple,Cowboy Junkies,
Escape Through the Air Vent,Man or Astro-man?,
Escapism,Digable Planets,
Estuary Bed,Triffids,
"Et Moi, Et Moi, Et Moi","Dutronc, Jacques",
Ether,Nas,
Eton Rifles,Jam,
Etude No 4,"Liszt, Franz",
Eulogy,"Turner, Frank",
Eulogy,LA Vampires & Zola Jesus,
Euphoria,Neu!,
Europe Endless,Kraftwerk,
Everest,Public Broadcasting Service,
Every Fucking City,"Kelly, Paul",
Every Time I Feel the Spirit,"Tharpe, Sister Rosetta",
"Everybody Dance (12"" mix)",Chic,
Everybody Eats When They Come to My House,"Calloway, Cab",
Everybody Knows,"Cohen, Leonard",
Everybody Loves the Sunshine,"Ayers, Roy",
Everybody's Got Something to Hide (Except Me and My Monkey),Feelies,
Everyday I Love You Less and Less,Kaiser Chiefs,
Everyman's an Island,Jah Wobble's Invaders of the Heart,
Everything Happens to Me,"Baker, Chet",
Everything Happens to Me,"Monk, Thelonius",
Everything is Beautiful Far Away,Grandaddy,
Everything is Broken,"Dylan, Bob",
Everything Reminds Me of My Dog,"Siberry, Jane",
Everything You Never Had (We Had It All),Breach ft Andreya Triana,
Everything's Turning to White,"Kelly, Paul",
Everywhere,Fleetwood Mac,
Evidently Chickentown,"Cooper Clarke, John",
Exhausted,Foo Fighters,
Exhuming McCarthy,R.E.M,
Exile Vilify,National,
Exiles,King Crimson,
Expectations,Belle and Sebastian,
Explanations,"Scott-Heron, Gil",
