You're Goin' Miss Your Candyman,"Callier, Terry"
You're Gonna Miss Me,13th Floor Elevators
You're Missing,"Springsteen, Bruce"
You're Seeing Too Much of the Telly,"Read, Al"
You're So Square,"Holly, Buddy"
Yours Truly 2095,Electric Light Orchestra
Youth,Soft Cell
Youth Against Fascism,Sonic Youth
You've Got to Hide Your Love Away,Beatles
You've Got to Pick a Pocket or Two (from Oliver!),"Moody, Ron"
"Z-Machine, Sad Robot Goes Funny",Squarepusher
Zombie,"Kuti, Fela"
Zombie by the Cranberries,Andrew Jackson Jihad
Zoo Station,U2
Zoobi Doobi,"Nigam, Sonu & Shreya Goshal"
Zooropa,U2
Zouk La S? Sèl M?dikaman Nou Ni,Kassav
